stressor,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air",1437327.3779993637,1323147.1803863612,1418150.0779618197,1680571.804289317,1640878.791191885,1643549.1237366064,1693155.5841366195,1848432.9894375112,1876075.8063938478,1912883.5661980833,1987239.2200758313,2049646.9439424567,2121386.797172073,2205520.50435811,2180413.084270629,2216189.4478423195,2216189.447840352,2478253.3165297373,2432383.157458536
NMVOC - non combustion - Flexography and rotogravure in packaging - air,1436670285.3045664,1417072604.098879,1465647155.8670635,1396128618.2686422,1423780420.8682642,1534082628.415498,1494139031.833366,1404484234.2311993,1284340860.0006423,1235450246.7434437,1256904555.873974,1266535662.4415324,1221335377.36766,1227038861.5088344,1329763192.8814058,1437549178.2055783,1445272658.7783298,1544073249.8022892,1432777462.5819142
NMVOC - non combustion - Gasoline distribution - service stations - air,1623214353.8984053,1647617575.918453,1675154693.6136203,1664110838.3940003,1638214664.5873246,1661633074.646873,1653023051.7781255,1621039067.5330417,1602601122.068238,1609265383.868863,1638384122.080898,1637519582.8542686,1631766245.8155234,1647406998.8191285,1620935605.2687838,1643572278.3166852,1662656830.1033645,1758008447.2240267,1715205642.7216651
NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air,1117471427.2694318,1140296537.7455754,1165055915.8511605,1163716351.405437,1152345827.2713602,1174882028.2612026,1175667910.6755366,1160789284.6199963,1155871342.0513213,1169328149.803027,1199371396.1218212,1208674865.105709,1208887591.9089005,1221124588.548133,1203053055.9118993,1220050496.9248507,1234838669.115512,1299967692.1681767,1257562482.4887486
NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air,263856922.81825343,266984576.87193802,270345322.7042527,269512935.07104194,267090808.43050092,269955901.3552177,294415018.6716533,315832261.6711357,338497848.36040497,364848085.7782836,395114726.0397502,405425079.6231529,413881699.1127886,425285810.59385276,429369128.707532,442644753.1844605,450415262.3528482,488511883.85668045,491799157.0213286
NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air,489535284.2465014,478265933.7818649,504774210.7596994,499408178.9716083,524047040.8553736,567418789.7413216,555112360.0373948,534381194.5162807,495671343.4864522,485775613.6234817,499191148.01625144,502360009.1287869,487707870.0392175,476628463.145688,519226994.52970535,559251672.411058,556040533.0216916,587682721.3441776,538999463.577932
NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air,1345919579.1636934,1403996329.8235078,1542398179.0587764,1536358115.6948154,1615309342.0237365,1861695591.0467253,1834714724.2177548,1724067061.7760925,1584900003.43115,1566471159.3624976,1667755473.5167277,1720879401.8244178,1686236487.8670275,1739389005.4237325,1888300067.9825008,2115493000.436194,2162653784.6038313,2315915797.7155223,2150690928.605961
"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air",221901099.71373641,221884044.56829,234071888.96455127,224040757.4304806,227491186.9135346,250582568.76048303,243884908.41313833,228603390.82847625,208466096.76793626,201388355.0073812,206446983.27566952,206642958.99468383,200656231.97701052,205063490.7300521,216339288.16240412,237785549.12943524,240778489.35026574,258759489.70948446,242492695.18820313
"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air",219180625.69542626,233582918.8442782,262484688.01097447,267115684.7441562,289985119.6422234,339592047.868484,340900451.29144186,329893191.7295875,309621676.4321462,308020334.4408663,326027778.23920566,336005206.25356364,332297448.50772977,343604700.1857214,365093340.7578725,403769526.21609426,416851484.4651392,448120459.8040279,418447543.32141507
"NMVOC - non combustion - Industrial paint application, general industry - air",2477425180.4062095,2395493034.2329545,2418945646.7719135,2250113684.0281773,2222632866.26513,2321798084.64209,2281951324.1135902,2148341051.8859267,1974212043.3790903,1911028112.3320303,1956701217.169948,1971379038.5869174,1902089881.255621,1913124775.5926409,2056996554.565143,2227417524.183835,2203186129.5131645,2348378702.743169,2175346850.3789654
"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air",469142666.2817245,419917179.27089655,390498716.6646202,341115936.63167584,314355102.7439633,294892892.21993834,285472741.6092924,269829739.22027636,248535182.2615604,237713121.1370827,239947150.78591838,236811097.97790128,225300501.5042149,224316121.12795538,241824350.77501607,257368811.2003341,258709822.69630682,271395934.90297866,250632283.906845
NMVOC - non combustion - Leather coating - air,168888923.81542367,164682417.848135,169908868.0436599,161943695.11448023,164722245.8620385,180056185.92776927,170500377.62288356,154823759.45047066,136913193.1275736,127308632.17157061,125924859.13084738,131241702.84518959,131607482.23388493,139837740.1452392,151661034.91140702,170775297.21559748,174776084.692967,185226626.15075734,177441458.56189927
NMVOC - non combustion - Manufacture of automobiles - air,426046946.9795355,436866330.0006549,482657137.8851948,491032939.6211033,539000137.4801862,624272698.1583382,612522745.638643,576169226.8048452,524949211.9377431,503447485.3622334,511424740.0694174,508897660.4111315,488664587.41898614,490930704.8820044,536210346.6862669,579731915.4451861,589119908.4413408,631372329.3011203,590066225.4206831
NMVOC - non combustion - Mutton and lamb - air,3695533.596961424,3335236.917406735,3015367.2140936297,2683494.2327774125,2335521.8432588484,2060654.7504225555,1819566.5591669688,1101872.962756824,1211229.2264507324,752194.5785169995,767235.1574298132,774728.841938209,776832.7236255963,775700.4835188555,764601.69575057,766887.8174508124,766887.8174502563,853817.0427572428,774877.3018321305
NMVOC - non combustion - Oil refinery - air,3080389895.331588,3154090266.3735476,3248285704.236234,3308289836.975309,3213644432.385699,3323058947.991989,3314997904.899327,3256712996.6849213,3404533920.690518,3578070466.6965337,3643169223.101767,3667969553.4264946,3627887060.4694834,3666629667.8509727,3554886220.72308,3608021191.182611,3653660662.2681007,4118224487.686573,3627203191.98817
NMVOC - non combustion - Organic chemical industry - downstream units - air,1105685975.565756,1025865821.0813484,997778818.0525113,891464056.8149252,842929900.8181895,829939402.5912292,814801510.1261818,777007361.2165015,719773517.4719661,699657746.5542892,718350116.3733064,718790981.3984936,691005710.72717,689601960.8403363,740763896.4362109,795262906.3410444,801421295.3022332,847408272.203017,779647789.0806128
"NMVOC - non combustion - Organic chemical industry, storage - air",270833499.1235068,250902735.42898735,239788226.65324777,209707519.6700064,192913410.86459306,182637907.62077883,178905787.30480507,170246259.17462313,157950151.4823471,152866337.97875947,155811445.1095797,155935228.04763067,150107336.6280263,150296638.93545723,162870590.18378642,173632254.58868307,173889163.07570228,181019355.72826642,167345751.17348653
NMVOC - non combustion - Other industrial use of solvents - air,990514444.5000893,1052267742.3461595,1173442404.9210496,1200317189.019969,1309294884.019708,1531220886.8379617,1499007843.6537123,1419530909.9842675,1309453445.89235,1271417709.338327,1311176584.411378,1307093603.6627908,1252704922.4705741,1267321222.3806343,1322884624.0406053,1422384621.1878664,1450936058.7775068,1520243074.0385184,1394279763.1568346
NMVOC - non combustion - Pharmaceutical industry - air,529442108.22614884,513393577.6019522,520425477.55366516,484180165.5152999,471616078.57555735,493745499.47560817,487577476.28491586,463270588.57436764,431640841.17977333,426430669.5935134,448062177.0683796,463864056.6875422,460306187.7064321,476334677.804156,514854448.9665729,570551678.6083723,579827185.0781956,627829357.2008679,585453864.5153744
NMVOC - non combustion - Polystyrene processing - air,106199724.5754302,113759861.88616528,127503665.75783119,131855386.92058441,146376484.4833647,169528334.98239902,170482735.65825653,164916897.30401912,154828448.95275894,152279841.22582537,157748773.68026572,161304287.13590074,158377460.1578707,161883741.03177595,178802472.22606328,194997493.34951887,198410349.81237596,205150023.66849184,198409277.77433777
NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air,91304602.20514388,100643506.20376346,96992950.40475544,96580204.38434313,99576213.43840627,101708366.57870395,98350587.48489061,102783773.7446106,106402295.80635329,107843689.85633273,108003565.01703738,112874291.26470284,119959917.17436574,117161932.56842381,114840372.91811569,121309358.56698221,121309358.56698768,123808464.80467652,119888317.23280151
NMVOC - non combustion - Pork - air,8260643.814687174,8197257.770573044,8197017.715842062,8717044.487970347,9231466.632687863,9024940.892576504,9129666.801308444,9362864.499950023,9912960.226683252,10207045.005706428,10659573.051511643,11220860.150430994,11418866.119796192,11940141.938908815,11982338.23546362,12416050.609861126,12416050.609863004,13158283.800513923,13137513.222496865
"NMVOC - non combustion - Poultry, dressed - air",9399141.827520246,9702260.292390645,10255811.377480876,10496436.831858054,11140248.868890844,11414916.959638663,11541845.996042816,11932413.044960193,12129341.160866868,12468001.797928305,13466877.110596608,13618432.689897582,14662664.14215402,15217017.124027092,15538246.48000453,16089381.254689964,16089381.254693624,18047669.46373442,17705481.3720273
"NMVOC - non combustion - Printing, offset - air",165286402.4777237,182657020.53554162,210549374.7945021,222437751.4559949,248916342.29204053,293325939.00044715,288477309.3908933,275445462.3231858,255971056.4510346,249795632.23447502,258579269.56620073,256920589.93750674,245503684.98447078,243381236.47173467,260076045.84535962,276979327.29336226,279730720.3042651,299814250.0235346,273456787.44579303
NMVOC - non combustion - Products incorporating solvents - air,168891957.375198,178618872.22054344,198154689.47310042,201345752.33369178,218347486.53790852,249849332.97289324,248723016.89892238,237338880.33089736,221029872.0257444,216629532.20304644,223942723.32064074,225889261.4675194,218462765.1864333,219379482.16412622,236283620.17617765,253126118.23952168,255412685.2161429,271251275.1390363,253081739.10968626
NMVOC - non combustion - Raw sugar - air,1068763205.519407,1149458843.3351579,1143940746.165179,1180770170.2451422,1263260510.859561,1132346193.1358423,1171405026.197388,1232288253.6421807,1300765490.8497252,1240733442.9536405,1207778351.893044,1324333252.2477028,1458210380.5990999,1459758772.3234088,1295810547.4736536,1365783426.500728,1365783426.50036,1466246946.9616966,1326347489.9851403
NMVOC - non combustion - Rotogravure in publication - air,238217708.97753775,234256151.76265377,241720774.90832275,229600825.0416406,235471762.61626416,255266122.2634952,242050915.31310645,220610806.9846883,194826336.40618587,179987533.6543002,175149737.26235077,171730607.77358168,161448745.3079121,157769404.6287291,166519850.84989762,173819486.23882908,175832612.18875065,187333865.69261026,174045792.55783498
NMVOC - non combustion - Screen printing - air,122606289.54925823,118394280.56551427,119822009.11604197,111379999.51788276,109091746.61121605,114501743.205847,113253031.26808426,107597042.55534667,100248378.20849288,98961981.36151046,104192222.73435941,107718669.80121613,106585317.74679552,110732015.16369945,121836159.20532152,135361589.3841138,137908466.43079382,145992308.84580365,136178451.7690177
NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air,33411688.35206421,35241311.51133694,39985327.40235236,41426423.98937666,44019035.89528413,48795044.610264376,47441993.27809583,53606634.34186144,61590819.04659392,60668506.75587886,65016632.42420474,66189417.56445793,70070738.19952159,69330468.74658744,72786658.81380409,76074053.06520493,76074053.0652286,82195279.64623255,75609260.10726115
NMVOC - non combustion - Synthetic rubber - air,85902204.52500811,85544701.64633995,90303251.82365489,88048171.19202483,92082577.01169756,103170182.62409231,101197926.14610025,95554042.61354168,87587187.21381885,84671778.42397876,87283190.33808908,88850330.62570585,87058398.23491742,90571528.418324,96424859.20462978,106608655.26950505,108486732.1430076,114735662.00899555,108931902.92038192
NMVOC - non combustion - Tyre production - air,133599093.41721953,135449639.36169392,144377588.70476034,142490707.1223018,152055934.7952352,169416309.94813594,170213173.10551265,164283248.99343324,153657689.42148197,150154629.8787418,154982925.14876622,158090921.53327045,154790783.39723045,158067947.64807475,174543698.84315994,188978697.68827128,193057050.19012582,205437538.7078455,197380513.4977334
NMVOC - non combustion - Vehicle refinishing - air,393802528.856423,389654084.43739665,405695905.6113477,389510896.34459233,402921598.63250786,436543080.6643325,426077085.26109034,400142067.46447396,365061738.4863682,349214858.8345124,351894068.0822718,350682253.02627814,335601914.59872866,333562140.3683422,358554467.04136604,381836731.02685124,383969925.2401704,400831603.2138748,364975596.1465787
NMVOC - non combustion - Wire coating - air,24310538.381444,24638458.407611266,26435858.403080985,25959824.737467997,27392856.50965068,30946802.714018956,30617700.64074476,29334678.80913276,27389506.003274623,26885923.204215698,28055558.973419093,28907708.985801816,28573124.86387083,29651371.410017963,32002347.198492818,35342432.61828121,36109919.047633424,38447429.70519678,35978967.50256262
NOx - non combustion - Agglomeration plant - pellets - air,779578061.7863799,719362012.1358587,650266040.9324018,598218853.8955417,558083046.0532343,510557236.66467255,487865284.8806151,479894590.3916823,493232861.42776746,499679054.316144,492090002.72231853,502577624.30510384,531552177.2626319,560662694.7550579,574258717.5820713,592291622.7188009,614833421.0751495,627795317.5828176,577453375.3293042
NOx - non combustion - Agglomeration plant - sinter - air,1309234159.8541484,1298587641.925119,1306337679.7851639,1286430821.7130642,1300735922.2872415,1196270958.5010757,1281592782.9834104,1354625954.6037197,1446878360.8485713,1560335935.3209543,1684776210.4485693,1788190059.905284,1885112597.282168,2030091020.4331055,2138833769.407376,2293335406.1647387,2295276732.1371555,2470979924.0658655,2327019513.896479
NOx - non combustion - Bricks production - air,529.5269007280305,549.5262677886742,566.8704224649255,580.9781955706911,587.1129720051806,599.038733566797,608.6427483836862,613.1739814640417,620.8747636165992,642.5388794090921,662.3967729459503,687.3989095697427,709.8444657428034,737.4520756900523,752.0563008022766,783.0645480958499,800.5321640247213,904.6231002084841,867.8828460546425
NOx - non combustion - Cement production - air,2601794701.197219,2666982154.067436,2748632280.5791216,2704265558.72241,2822072364.10376,3179874792.0815444,3278597855.552648,3485258697.4914107,3853645152.381585,4167557980.3467035,4482618042.398578,5104894924.958864,5511156196.523524,5513806835.563988,5893839634.648398,6436402862.978103,7180018117.089787,8460686405.630147,8985212485.878683
"NOx - non combustion - Chemical wood pulp, dissolving grades - air",4191408.80318083,3909461.707719168,4594839.207666613,4526438.715959875,4444012.761744912,4568321.729387619,4309231.6650462095,4422853.482165744,4712659.154599101,4749146.403408844,5163537.977273774,5224821.128760416,5065031.692149358,5999612.350925785,5225135.944364475,5751322.605674561,5751322.605674045,5964775.125629072,5855625.993827707
"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",106128038.40998867,106976265.50076722,108796328.1895869,111020754.57678156,115831549.04825394,113257296.43568398,111142108.61193754,115994429.25174257,118135231.33625574,121424106.85989372,120568913.23024607,117017823.91300078,125481704.15282305,129282704.2228127,121775474.62557463,127421587.33768736,127421587.33764058,128425782.20742679,123420454.24155109
"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",10980359.467467876,10668668.573787699,11191621.038959948,10654864.020699797,9106366.351486992,9041492.153838584,6979638.0782797,5150637.527863739,5030727.683177892,4747367.5189916,5686676.901854302,5530927.492688039,5350971.450823762,4514266.002525965,3892357.456162016,4333992.622418253,4333992.622416457,4325645.466463383,4125985.56852713
NOx - non combustion - Glass production - air,13411954.041458191,12626164.00715544,13407263.227326727,13599927.873518333,12590733.664800614,11844409.70687981,11959148.940028042,11903881.324837297,12599313.807065634,13149970.607952023,14164875.388565548,14514746.804687256,13884817.539825942,15202564.173401099,15342960.872838482,15847625.39748388,15847625.397484703,17176349.69240348,17125717.44977799
NOx - non combustion - Lime production - air,394766518.42690337,410927582.5376191,427088646.64940685,443249710.76120794,459410774.8727857,411913242.70368105,414597670.4087208,417282098.11372125,419966525.81866044,452132413.25672936,483556922.6186516,539130499.5910903,574060624.0417491,636797010.452734,596884759.1251019,657696346.3130615,706874142.075572,832654415.4366984,887218729.3965367
"NOx - non combustion - Nickel, unwrought - air",379339.71213791857,406108.09369837504,423574.8179402154,441099.8910299967,443785.8201560431,473893.8792203795,549365.4239989264,553786.2425317058,565999.2681722332,662773.5514551953,675961.2229533291,737918.1287172231,775496.7405199117,807522.7805871208,899598.1462344311,921135.3663634658,921135.3663639856,957518.2319304153,910634.5368713273
NOx - non combustion - Oil refinery - air,1545575447.5124366,1495207566.987683,1458724745.0255778,1471173524.1308227,1427302301.7382936,1476363361.4857087,1472073619.402028,1446979477.2212307,1509647224.497987,1581454240.1087768,1607803189.542628,1614038100.17717,1593563598.1328452,1606943913.0467248,1555599882.2336276,1576452399.5720274,1594075439.831292,1796617026.897874,1585841266.5149312
"NOx - non combustion - Pig iron production, blast furnace - air",389887282.38197696,396839593.96683466,403419927.59441555,405062425.2281344,403399474.51703835,401825882.05179214,435224277.84458673,464961029.77019364,497135440.6184163,533744851.9121438,575283771.7754319,612684047.7358551,648458688.5009277,689291364.6332415,716177320.9322187,757720725.1492952,758347915.197183,812659949.0717974,775459958.8626183
NOx - non combustion - Production of coke oven coke - air,293342400.00041693,289074399.99989563,291234400.00000143,276232000.0000178,265950400.00010258,272532800.0000045,282427199.9999081,283439200.00006795,314810400.00028855,339803999.99960613,382080799.99950683,410618400.0002187,429353599.9998396,436102399.9994464,428489600.00035554,470335199.9996571,508885600.0003693,578973230.5456375,598673123.3612576
NOx - non combustion - Production of gascoke - air,1372000.0000023139,1308000.0000013658,1399999.999997721,1545600.0000002903,1716000.0000042415,1787999.9999958235,1915999.9999959175,1764000.0000010242,1879199.9999968444,2462400.0000001835,2487999.9999953704,2448000.000004451,2658400.00000061,2259200.0000043693,1872000.000004536,1985599.9999976435,1648000.0000040573,2015802.7813618002,2263261.7800154397
"NOx - non combustion - Refined copper; unwrought, not alloyed - air",7081034.584601884,7582763.542935288,7964436.215609259,7187293.943780894,7249751.617675098,7360973.33697612,7750642.304038058,7412702.509556733,7358592.424760685,7654748.832550001,5992239.946845482,6134034.984162919,6197473.029809107,6308301.010876541,7713976.142895075,6912345.320152729,6912345.320154434,7487292.757970021,7149606.474198972
"NOx - non combustion - Refined lead, unwrought - air",3087831.347600518,3095781.7823994844,3108213.8172003096,3156898.1557270815,3279350.0743671595,3647788.080603366,3615972.881304924,3682397.8742618468,3665583.871830765,4006637.626753086,4265536.484155716,4586152.645974515,4643824.229865212,4978560.934341026,5266718.017692921,5549881.21877388,5549881.218773882,5868455.073450007,6054936.027963858
"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",61248929.827612914,54129538.98846674,61681074.82433201,64356540.85571066,63151683.27639005,61045594.78808036,61610973.29516113,80710190.67778304,86993511.48651423,94462136.14634109,115841637.29004651,126509100.76094815,130487316.21100506,135287456.6000703,139518912.44796935,146573906.06847748,146573906.06869537,144325308.9767685,140259575.14339584
NOx - non combustion - Steel production: basic oxygen furnace - air,60884109.81206391,61320200.92382103,61756292.035571516,62192383.14730578,62628474.259054065,55378828.653345734,56075832.521491125,60091710.07866676,64968488.41584797,71585587.66813633,77807030.00549428,85301580.15140781,92494437.33131014,92609105.20129992,85748519.93197383,99770586.2284683,107004644.42983446,115757822.24742658,110441149.50386928
NOx - non combustion - Steel production: electric arc furnace - air,60259972.50217052,60927209.10818891,61594445.71421503,62261682.320197076,62928918.92623089,53107934.63895709,52186674.76581032,54450909.2600267,57479000.9941,61983308.824510515,66067904.425415955,71404263.72066478,76405761.33624113,75562854.73396313,69164847.16435726,79614096.5395574,86146531.31133722,90312086.17391153,86235685.79669678
NOx - non combustion - Sulphuric acid production - air,12000000.000002112,11999999.999992944,11999999.99999796,12000000.000002315,12000000.000002049,11999999.999995336,11999999.999999572,11999999.999996275,11999999.999998253,12000000.000001654,11999999.999997284,11999999.99999641,11999999.999996996,12599999.99999504,12899999.999996124,13200000.00000002,13799999.999999337,15572094.768909745,15334912.31715279
NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,7626509.099021035,7315900.332510242,7612533.5659940215,7420886.389033625,7069142.725918728,6402613.856104895,6889906.317183611,6755193.8717409605,6821771.861441257,6318322.753242178,8183609.566788229,6682379.848291697,6689460.201219198,6935317.464979014,7088328.882431597,7244274.847336166,7244274.847333896,7710798.092375239,7218099.786826341
"NOx - non combustion - Zinc, unwrought, not alloyed - air",5375341.680543692,5397725.562627446,5659776.17245877,5303361.379999877,5355846.266783568,5519277.779174903,5735254.902124022,6186231.720817532,6077761.30693994,6637189.088079172,6423211.148746434,6837036.985407938,7377539.591847902,7606995.010401605,7700710.81748032,8320657.038850652,8320657.038850253,8517057.81136894,8716733.112236148
Ni - non combustion - Agglomeration plant - pellets - air,68602.86943726086,63303.85706796834,57223.41160204202,52643.25914279388,49111.30805270171,44929.03682650263,42932.14506946987,42230.723954465575,43404.49180562962,43971.75677982008,43303.92023956944,44226.83093885188,46776.59159910514,49338.317138452876,50534.76714724187,52121.66279927737,54105.34105462146,55245.98794726754,50815.89702897606
Ni - non combustion - Agglomeration plant - sinter - air,885128.5190505731,873604.9278163215,878464.508403321,867066.5574238778,881304.9028527819,816769.3433974868,888709.4789724081,957959.8296108724,1040625.7826064161,1134884.8044643893,1230559.8398954698,1304484.047464217,1375717.443871527,1481345.5160340688,1568869.4628713054,1677647.2402117958,1670800.1074547293,1806271.281280268,1704022.2090357533
Ni - non combustion - Glass production - air,3420.4325882021017,3025.2004762965607,2961.6112940908356,2753.154602311386,2231.547733879028,1914.3606887264255,1665.5621684583316,1418.0297086693865,1365.5028441016916,1305.9339512713539,1276.0243538811803,1209.9222199792785,1095.5252350458384,1072.918247058061,929.0543991107587,868.9234206871297,868.9234206870755,941.3096293773448,944.7226326877627
Ni - non combustion - Production of coke oven coke - air,2380987.681134421,2300089.7645359216,2258543.009222033,2101535.801916146,1959899.7365082859,1952866.8858091894,1989795.0530773941,1949220.6123728317,2198146.406406485,2387812.443132015,2800082.8058822285,3045668.9091905267,3182027.5848641708,3252286.143822235,3320657.2071461845,3576112.935613847,3958955.882147053,4706428.905496882,4867673.507347775
Ni - non combustion - Production of gascoke - air,19896.599399989056,18229.565042967628,18874.938729267113,20259.232668460936,21962.563177307104,22406.323084542386,22486.247458655067,19724.029193386257,20243.969811326082,25753.95999677538,25403.59677615773,24863.20712087511,26882.106265464,22761.288427016014,18801.06992037967,19887.951146469444,16501.798187378707,20184.690948822,22662.55408924181
Ni - non combustion - Steel production: basic oxygen furnace - air,3988222.9506920464,3819026.97589851,3651981.0773305893,3486751.98564411,3323137.458507419,4819959.224085039,3723999.2437603106,3795628.0456878175,4164664.966196258,5147687.772839808,6010337.978975335,7507988.617558676,8863084.220358163,7878090.755294242,4620951.367248494,8178019.021016789,10543918.199339421,11823847.313284082,11131968.637516614
Ni - non combustion - Steel production: electric arc furnace - air,18695436.281853776,17856333.329341516,17027094.875272807,16205204.387591392,15388790.618631367,26049389.805099238,17434027.662786663,15902076.891541207,15824300.709235985,16847657.665476203,17274531.73811962,20061895.548095543,22571578.562424894,21371967.98647178,16768605.481214412,22680603.379062336,26167241.688636746,29648212.20861666,29048344.42430929
Ni - non combustion - Steel production: open hearth furnace - air,4163411.1417654613,3791101.254535146,3418791.367308962,3046481.4800856514,2674171.592855846,2631013.0052258708,2600355.198279703,2730542.232090122,2899940.6879171384,3145873.945690408,3371025.5392940873,3465691.1172922724,3528970.40639717,3318888.229896104,2886437.2054656516,3169491.547645518,3102773.439309659,3338562.2713414542,3075486.515533522
PAH - non combustion - Agglomeration plant - pellets - air,1184.9586539164673,1093.4302584470274,988.4043822173504,909.2926579216885,848.2862300018442,776.0469997305614,741.5552330182886,729.4397773949648,749.7139493706999,759.5121625598264,747.976804137966,763.9179889438007,807.9593094392648,852.20729602806,872.8732507249391,900.2832665329222,934.5468000342007,954.2488827256141,877.7291305003354
PAH - non combustion - Agglomeration plant - sinter - air,3147123.6232921355,3106150.8544564084,3123429.363211491,3082903.3152840277,3133528.5434756665,2904068.7765252735,3159855.9252371634,3406079.3941700426,3700002.782603253,4035145.971424725,4375323.875186556,4638165.502098419,4891439.800428226,5267006.279227848,5578202.53464979,5964967.965194999,5940622.604281496,6422297.888999528,6058745.632120594
"PAH - non combustion - Pig iron production, blast furnace - air",41531833.29652044,42255865.396077506,42929796.062518045,42935919.81500421,42495040.737055324,42178898.13460737,46577276.76808464,50480303.14682359,54713099.401441716,59545868.660059154,65045508.66675212,69967137.65629953,74668848.46462062,80054817.30429307,83554054.56467858,89036171.68420196,89036636.39240782,96897827.57664865,93504857.48416176
PAH - non combustion - Production of coke oven coke - air,7142963.043393257,6900269.293598132,6775629.027675954,6304607.40574756,5879699.209534952,5858600.657426655,5969385.159242907,5847661.837130619,6594439.219227979,7163437.32939493,8400248.41764651,9137006.727559999,9546082.754593318,9756858.431475487,9961971.621428506,10728338.80683987,11876867.646440178,14119286.716469917,14603020.521985548
PAH - non combustion - Production of gascoke - air,59689.79819997217,54688.69512900211,56624.816187788245,60777.69800549666,65887.68953182032,67218.96925353899,67458.74237587025,59172.08758005669,60731.90943407147,77261.87999023817,76210.79032856307,74589.62136273154,80646.3187965069,68283.865280945,56403.20976113009,59663.85343929909,49505.39456223512,60554.072846356,67987.66226781646
PAH - non combustion - Steel production: basic oxygen furnace - air,3067.8638082226194,2937.7130583841035,2809.2162133281313,2682.1169120341656,2556.2595834689187,3707.660941602631,2864.6148028932244,2919.7138812989024,3203.588435535616,3959.7598252616754,4623.336906904562,5775.375859660411,6817.757092587814,6060.0698117647,3554.5779748062328,6290.783862318399,8110.706307169879,9095.267164073937,8563.052798109127
PAH - non combustion - Steel production: electric arc furnace - air,427324257.8706891,408144761.8133026,389190740.00574553,370404671.7167862,351743785.56910765,595414624.1172545,398492060.8636533,363476043.2358232,361698301.9251298,385089318.0683044,394846439.72845423,458557612.5282587,515921795.71248466,488502125.4050665,383282410.9998661,518413791.52205527,598108381.4560211,677673421.912567,663962158.2709085
PCB - non combustion - Agglomeration plant - pellets - air,22451.84817948077,20717.625949517722,18727.661978860622,17228.702992199964,16072.791726342477,14704.048415952731,14050.520204553755,13820.964203269767,14205.106409118229,14390.756764302017,14172.192078405607,14474.235579992142,15308.702705157295,16147.085608938996,16538.65106637981,17057.99873429285,17707.20252696687,18080.505146378175,16630.65720947887
PCB - non combustion - Agglomeration plant - sinter - air,35405.140762034025,34944.19711261562,35138.58033612692,34682.66229695203,35252.196114101855,32670.773735906772,35548.37915887543,38318.393184474575,41625.03130424029,45395.3921785705,49222.39359581889,52179.361898542295,55028.69775485051,59253.82064134222,62754.778514809455,67105.88960853877,66832.00429820179,72250.85125126962,68160.88836143707
"PCB - non combustion - Pig iron production, blast furnace - air",33225.4666372038,33804.69231685816,34343.83685000308,34348.73585200241,33996.03258965388,33743.118507689316,37261.82141446758,40384.242517457205,43770.47952116281,47636.69492805661,52036.4069333858,55973.71012502247,59735.07877172347,64043.85384343871,66843.24365168325,71228.93734740437,71229.3091138883,77518.26206134401,74803.88598729172
PCB - non combustion - Steel production: basic oxygen furnace - air,110443.09709622018,105757.67010196383,101131.7836798698,96556.20883318718,92025.34500503769,133475.79389775047,103126.13290411221,105109.69972674857,115329.18367928012,142551.3537094163,166440.12864839094,207913.53094781307,245439.2553329971,218162.5132233181,127964.80709294995,226468.21904331446,291985.42705830984,327429.6179065088,308269.9007315994
PCB - non combustion - Steel production: electric arc furnace - air,213662.1289358412,204072.38090662126,194595.3700031071,185202.33585820242,175871.89278446455,297707.312058413,199246.0304318482,181738.0216177519,180849.1509626971,192544.65903394308,197423.21986424705,229278.80626403113,257960.89785673222,244251.06270222928,191641.20549998063,259206.89576112194,299054.1907278463,338836.7109557888,331981.0791350054
PCDD/F - non combustion - Agglomeration plant - pellets - air,0.03554875961749113,0.03280290775337718,0.029652131466519037,0.027278779737639154,0.02544858690003666,0.023281409991910532,0.02224665699055267,0.021883193321849997,0.022491418481110054,0.022785364876814988,0.022439304124136188,0.022917539668316694,0.02423877928316343,0.025566218880827808,0.0261861975217532,0.02700849799597688,0.028036404001016625,0.028627466481777972,0.0263318739150113
PCDD/F - non combustion - Agglomeration plant - sinter - air,17.702570381015153,17.472098556315235,17.569290168065507,17.34133114847356,17.62609805704301,16.335386867950277,17.774189579438723,19.159196592217718,20.812515652124038,22.697696089239997,24.61119679790834,26.08968094926619,27.514348877422997,29.626910320663058,31.37738925739896,33.5529448042035,33.4160021490539,36.125425625629134,34.08044418066976
